movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
Robot Dreams,Pablo Berger,Ivan Labanda,Tito Trifol,Rafa Calvo,Animation Drama Comedy Science Fiction,friendship based on comic bromance summer robot silent film adult animation,838240,/ds402Qq09ybgBcXKiQNTZfzsP5o.jpg,pablo berger ivan labanda tito trifol rafa calvo animation drama comedy science fiction friendship based on comic bromance summer robot silent film adult animation
Death Is a Problem for the Living,Teemu Nikki,Pekka Strang,Jari Virman,Elina Knihtilä,Comedy Drama Action Thriller,dark comedy russian roulette illegal gambling gambling addiction,1055871,/mbHabCg4PHn94wbE6x89Xd2YmrF.jpg,teemu nikki pekka strang jari virman elina knihtilä comedy drama action thriller dark comedy russian roulette illegal gambling gambling addiction
Family Switch,McG,Jennifer Garner,Ed Helms,Emma Myers,Comedy Fantasy Family,based on novel or book holiday christmas party bullying dysfunctional family body-swap family conflict teenage romance swedish family family comedy nuclear family,798021,/xUJJXVugggonJ0hpWtj9Qsxode1.jpg,mcg jennifer garner ed helms emma myers comedy fantasy family based on novel or book holiday christmas party bullying dysfunctional family body-swap family conflict teenage romance swedish family family comedy nuclear family
Retribution,Nimród Antal,Liam Neeson,Lilly Aspell,Jack Champion,Thriller Action Adventure,"berlin, germany assassination bomb remake divorce duringcreditsstinger phone call",762430,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,"nimród antal liam neeson lilly aspell jack champion thriller action adventure berlin, germany assassination bomb remake divorce duringcreditsstinger phone call"
Last Sentinel,Tanel Toom,Kate Bosworth,Lucien Laviscount,Martin McCann,Science Fiction Thriller,dystopia science fact science fiction colony sci-fi military sci-fi ambiguous,516806,/pD1o9B0ibENdNroYrBCQemG2jnr.jpg,tanel toom kate bosworth lucien laviscount martin mccann science fiction thriller dystopia science fact science fiction colony sci-fi military sci-fi ambiguous
The Wonderful Story of Henry Sugar,Wes Anderson,Ralph Fiennes,Benedict Cumberbatch,Dev Patel,Comedy Fantasy Adventure,"london, england card game casino based on novel or book gambling charity training wealth breaking the fourth wall calcutta storytelling story within the story 1930s yogi",923939,/fDUywEHwHh6nsLnVXAdPN9m4ZUG.jpg,"wes anderson ralph fiennes benedict cumberbatch dev patel comedy fantasy adventure london, england card game casino based on novel or book gambling charity training wealth breaking the fourth wall calcutta storytelling story within the story 1930s yogi"
The Hill,Jeff Celentano,Colin Ford,Dennis Quaid,Joelle Carter,History Drama,christian faith,862557,/gKh28PVUqt1vY2oAdFlauXkDacW.jpg,jeff celentano colin ford dennis quaid joelle carter history drama christian faith
Mavka: The Forest Song,Oleg Malamuzh,Natalka Denysenko,Artem Pyvovarov,Nazar Zadniprovskyi,Animation Adventure Family Fantasy,"based on novel or book fairy nature folklore based on myths, legends or folklore mavka ukrainian folklore independent film love vs duty",459003,/eeJjd9JU2Mdj9d7nWRFLWlrcExi.jpg,"oleg malamuzh natalka denysenko artem pyvovarov nazar zadniprovskyi animation adventure family fantasy based on novel or book fairy nature folklore based on myths, legends or folklore mavka ukrainian folklore independent film love vs duty"
Resident Evil: Death Island,Eiichiro Hasumi,Matthew Mercer,Nicole Tompkins,Kevin Dorman,Animation Horror Action Science Fiction,alcatraz prison outbreak zombie based on video game survival horror special agent anime,1083862,/qayga07ICNDswm0cMJ8P3VwklFZ.jpg,eiichiro hasumi matthew mercer nicole tompkins kevin dorman animation horror action science fiction alcatraz prison outbreak zombie based on video game survival horror special agent anime
Bottoms,Emma Seligman,Rachel Sennott,Ayo Edebiri,Ruby Cruz,Comedy,high school cheerleader female friendship bullying coming of age teenage girl school assembly high school student teen comedy lgbt sex comedy duringcreditsstinger teen anger jocks teen social issues satirical fight club toxic masculinity playful provocative absurdist humor absurd witty hilarious romantic amused audacious defiant exuberant sarcastic,814776,/jeyTQrNEpyE1LZIgVlswYh3sc34.jpg,emma seligman rachel sennott ayo edebiri ruby cruz comedy high school cheerleader female friendship bullying coming of age teenage girl school assembly high school student teen comedy lgbt sex comedy duringcreditsstinger teen anger jocks teen social issues satirical fight club toxic masculinity playful provocative absurdist humor absurd witty hilarious romantic amused audacious defiant exuberant sarcastic
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Katie Douglas,Cara Buono,Kristian Bruun,Thriller Drama Crime TV Movie,,1075334,/o9hwOE1FeOelkNxfsGtTNrlWnyq.jpg,simone stock katie douglas cara buono kristian bruun thriller drama crime tv movie
57 Seconds,Rusty Cundieff,Josh Hutcherson,Morgan Freeman,Lovie Simone,Thriller Science Fiction Action,technology time travel revenge based on short story high tech,937249,/dfS5qHWFuXyZQnwYREwb7N4qU5p.jpg,rusty cundieff josh hutcherson morgan freeman lovie simone thriller science fiction action technology time travel revenge based on short story high tech
Kelas Bintang - Staycation,,,,,Drama Romance,,1141581,/oZGKXxmVyST8kF3mQRVBpdzY6bb.jpg,drama romance
Soulmate,Min Yong-keun,Kim Da-mi,Jeon So-nee,Byeon Woo-seok,Drama Romance,friendship soulmates difficult childhood female friendship romance remake childhood friends aspiring artist estranged mother korean best friends,617882,/iL0jvWpSVW1uFn9aAoUh3UwzdYA.jpg,min yong-keun kim da-mi jeon so-nee byeon woo-seok drama romance friendship soulmates difficult childhood female friendship romance remake childhood friends aspiring artist estranged mother korean best friends
